estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
matcomplete,0.2,1.0,95,13,na,0,True,True,0.037066225540584634
rbf_paired,0.2,1.0,95,14,knn,8,True,True,0.06435337059380428
rbf_unpaired,0.2,1.0,95,14,knn,8,True,True,0.06586634904724961
rbf_combined,0.2,1.0,95,14,knn,8,True,True,0.05431103591902281
matcomplete,0.2,1.0,95,14,na,0,True,True,0.04302395766367588
rbf_paired,0.2,1.0,95,15,knn,8,True,True,0.07748256761624635
rbf_unpaired,0.2,1.0,95,15,knn,8,True,True,0.07937281760543333
rbf_combined,0.2,1.0,95,15,knn,8,True,True,0.06800130144814849
matcomplete,0.2,1.0,95,15,na,0,True,True,0.04225221563947528
rbf_paired,0.2,1.0,95,16,knn,8,True,True,0.0589601988858443
rbf_unpaired,0.2,1.0,95,16,knn,8,True,True,0.060180440153291125
rbf_combined,0.2,1.0,95,16,knn,8,True,True,0.055609326812992535
matcomplete,0.2,1.0,95,16,na,0,True,True,0.0427938349797508
rbf_paired,0.2,1.0,95,17,knn,8,True,True,0.057343879394404204
rbf_unpaired,0.2,1.0,95,17,knn,8,True,True,0.056818997024786655
rbf_combined,0.2,1.0,95,17,knn,8,True,True,0.057794072024114414
matcomplete,0.2,1.0,95,17,na,0,True,True,0.0406147245340584
rbf_paired,0.2,1.0,95,18,knn,8,True,True,0.0581645771721247
rbf_unpaired,0.2,1.0,95,18,knn,8,True,True,0.0636030103388047
rbf_combined,0.2,1.0,95,18,knn,8,True,True,0.05526303451034763
matcomplete,0.2,1.0,95,18,na,0,True,True,0.03658079258641251
rbf_paired,0.2,1.0,95,19,knn,8,True,True,0.06673541643586943
rbf_unpaired,0.2,1.0,95,19,knn,8,True,True,0.06989507674897169
rbf_combined,0.2,1.0,95,19,knn,8,True,True,0.06203969760231196
matcomplete,0.2,1.0,95,19,na,0,True,True,0.05471954320151479
rbf_paired,0.3,1.0,95,0,knn,8,True,True,0.05730356560818288
rbf_unpaired,0.3,1.0,95,0,knn,8,True,True,0.06254356484241767
rbf_combined,0.3,1.0,95,0,knn,8,True,True,0.05533878771075118
matcomplete,0.3,1.0,95,0,na,0,True,True,0.044386429709558514
rbf_paired,0.3,1.0,95,1,knn,8,True,True,0.05041340593786937
rbf_unpaired,0.3,1.0,95,1,knn,8,True,True,0.050777641105976844
rbf_combined,0.3,1.0,95,1,knn,8,True,True,0.04437159836825718
matcomplete,0.3,1.0,95,1,na,0,True,True,0.0329428619438904
rbf_paired,0.3,1.0,95,2,knn,8,True,True,0.054803178719338506
rbf_unpaired,0.3,1.0,95,2,knn,8,True,True,0.055897811378322525
rbf_combined,0.3,1.0,95,2,knn,8,True,True,0.05281355598294595
matcomplete,0.3,1.0,95,2,na,0,True,True,0.03697789583915769
rbf_paired,0.3,1.0,95,3,knn,8,True,True,0.053697403593010645
rbf_unpaired,0.3,1.0,95,3,knn,8,True,True,0.0513524619196843
rbf_combined,0.3,1.0,95,3,knn,8,True,True,0.04923553974322604
matcomplete,0.3,1.0,95,3,na,0,True,True,0.03957729319597609
rbf_paired,0.3,1.0,95,4,knn,8,True,True,0.055144396245837966
rbf_unpaired,0.3,1.0,95,4,knn,8,True,True,0.058135999824750866
rbf_combined,0.3,1.0,95,4,knn,8,True,True,0.05185702330105841
matcomplete,0.3,1.0,95,4,na,0,True,True,0.04339090405465452
rbf_paired,0.3,1.0,95,5,knn,8,True,True,0.05641897344393336
rbf_unpaired,0.3,1.0,95,5,knn,8,True,True,0.05563227492819281
rbf_combined,0.3,1.0,95,5,knn,8,True,True,0.05232555502161287
matcomplete,0.3,1.0,95,5,na,0,True,True,0.03608723733599383
rbf_paired,0.3,1.0,95,6,knn,8,True,True,0.05757173377103162
rbf_unpaired,0.3,1.0,95,6,knn,8,True,True,0.05555288337663611
rbf_combined,0.3,1.0,95,6,knn,8,True,True,0.05204034110381003
matcomplete,0.3,1.0,95,6,na,0,True,True,0.037744054539409155
rbf_paired,0.3,1.0,95,7,knn,8,True,True,0.06300237555191081
rbf_unpaired,0.3,1.0,95,7,knn,8,True,True,0.06761578605197972
rbf_combined,0.3,1.0,95,7,knn,8,True,True,0.0528954503108592
matcomplete,0.3,1.0,95,7,na,0,True,True,0.03717584749354706
rbf_paired,0.3,1.0,95,8,knn,8,True,True,0.05742774254998634
rbf_unpaired,0.3,1.0,95,8,knn,8,True,True,0.05790360491673689
rbf_combined,0.3,1.0,95,8,knn,8,True,True,0.05005411993217065
matcomplete,0.3,1.0,95,8,na,0,True,True,0.036603706900852954
rbf_paired,0.3,1.0,95,9,knn,8,True,True,0.05357786245216916
rbf_unpaired,0.3,1.0,95,9,knn,8,True,True,0.05385546688020453
rbf_combined,0.3,1.0,95,9,knn,8,True,True,0.05225229528689532
matcomplete,0.3,1.0,95,9,na,0,True,True,0.03906170730253241
rbf_paired,0.3,1.0,95,10,knn,8,True,True,0.05616612147209094
rbf_unpaired,0.3,1.0,95,10,knn,8,True,True,0.05626794406801745
rbf_combined,0.3,1.0,95,10,knn,8,True,True,0.05498584638409993
matcomplete,0.3,1.0,95,10,na,0,True,True,0.042927344556632614
rbf_paired,0.3,1.0,95,11,knn,8,True,True,0.06080942124942496
rbf_unpaired,0.3,1.0,95,11,knn,8,True,True,0.05887574331620552
rbf_combined,0.3,1.0,95,11,knn,8,True,True,0.056583952531060876
matcomplete,0.3,1.0,95,11,na,0,True,True,0.04435839262996921
rbf_paired,0.3,1.0,95,12,knn,8,True,True,0.04716950802444558
rbf_unpaired,0.3,1.0,95,12,knn,8,True,True,0.04877797667049013
rbf_combined,0.3,1.0,95,12,knn,8,True,True,0.04275341583309503
matcomplete,0.3,1.0,95,12,na,0,True,True,0.03719828001171835
rbf_paired,0.3,1.0,95,13,knn,8,True,True,0.06095279214739652
rbf_unpaired,0.3,1.0,95,13,knn,8,True,True,0.059307623724686676
rbf_combined,0.3,1.0,95,13,knn,8,True,True,0.04780308110222307
matcomplete,0.3,1.0,95,13,na,0,True,True,0.0353398485009838
rbf_paired,0.3,1.0,95,14,knn,8,True,True,0.06161066843160981
rbf_unpaired,0.3,1.0,95,14,knn,8,True,True,0.05767204870659892
rbf_combined,0.3,1.0,95,14,knn,8,True,True,0.054565414568274295
matcomplete,0.3,1.0,95,14,na,0,True,True,0.038473532784405615
rbf_paired,0.3,1.0,95,15,knn,8,True,True,0.06381694228869046
rbf_unpaired,0.3,1.0,95,15,knn,8,True,True,0.06390099232096243
rbf_combined,0.3,1.0,95,15,knn,8,True,True,0.05880519113713007
matcomplete,0.3,1.0,95,15,na,0,True,True,0.04734498225618365
rbf_paired,0.3,1.0,95,16,knn,8,True,True,0.058958988278353185
rbf_unpaired,0.3,1.0,95,16,knn,8,True,True,0.055083567832256146
rbf_combined,0.3,1.0,95,16,knn,8,True,True,0.0516274878559483
matcomplete,0.3,1.0,95,16,na,0,True,True,0.056148724365772014
rbf_paired,0.3,1.0,95,17,knn,8,True,True,0.05032675151309205
rbf_unpaired,0.3,1.0,95,17,knn,8,True,True,0.05053579494360319
rbf_combined,0.3,1.0,95,17,knn,8,True,True,0.049637863753498504
matcomplete,0.3,1.0,95,17,na,0,True,True,0.0415790635521478
rbf_paired,0.3,1.0,95,18,knn,8,True,True,0.0608136679667866
rbf_unpaired,0.3,1.0,95,18,knn,8,True,True,0.06042045947777856
rbf_combined,0.3,1.0,95,18,knn,8,True,True,0.05661809109633627
matcomplete,0.3,1.0,95,18,na,0,True,True,0.036985922954675544
rbf_paired,0.3,1.0,95,19,knn,8,True,True,0.05951719870782212
rbf_unpaired,0.3,1.0,95,19,knn,8,True,True,0.0623777756686018
rbf_combined,0.3,1.0,95,19,knn,8,True,True,0.05362972979356739
matcomplete,0.3,1.0,95,19,na,0,True,True,0.04329100247962608
rbf_paired,0.5,1.0,95,0,knn,8,True,True,0.06104172702005398
rbf_unpaired,0.5,1.0,95,0,knn,8,True,True,0.05839033859190349
rbf_combined,0.5,1.0,95,0,knn,8,True,True,0.04857309549000989
matcomplete,0.5,1.0,95,0,na,0,True,True,0.040431098820282355
rbf_paired,0.5,1.0,95,1,knn,8,True,True,0.05394140500459658
rbf_unpaired,0.5,1.0,95,1,knn,8,True,True,0.05420504983358133
rbf_combined,0.5,1.0,95,1,knn,8,True,True,0.04509288999482978
matcomplete,0.5,1.0,95,1,na,0,True,True,0.03332983816278862
rbf_paired,0.5,1.0,95,2,knn,8,True,True,0.056512866504821894
rbf_unpaired,0.5,1.0,95,2,knn,8,True,True,0.053509364163263885
rbf_combined,0.5,1.0,95,2,knn,8,True,True,0.04766548133857205
matcomplete,0.5,1.0,95,2,na,0,True,True,0.03435815966075849
rbf_paired,0.5,1.0,95,3,knn,8,True,True,0.053686372593010026
rbf_unpaired,0.5,1.0,95,3,knn,8,True,True,0.053066452447107365
rbf_combined,0.5,1.0,95,3,knn,8,True,True,0.044085503232424966
matcomplete,0.5,1.0,95,3,na,0,True,True,0.03920494011811294
rbf_paired,0.5,1.0,95,4,knn,8,True,True,0.05756236368875869
rbf_unpaired,0.5,1.0,95,4,knn,8,True,True,0.05551443339212675
rbf_combined,0.5,1.0,95,4,knn,8,True,True,0.049642276573547806
matcomplete,0.5,1.0,95,4,na,0,True,True,0.036566711904543275
rbf_paired,0.5,1.0,95,5,knn,8,True,True,0.057721406456372616
rbf_unpaired,0.5,1.0,95,5,knn,8,True,True,0.05770490149323766
rbf_combined,0.5,1.0,95,5,knn,8,True,True,0.05331367552895405
matcomplete,0.5,1.0,95,5,na,0,True,True,0.03904939471617684
rbf_paired,0.5,1.0,95,6,knn,8,True,True,0.05492467869675671
rbf_unpaired,0.5,1.0,95,6,knn,8,True,True,0.051063757048033113
rbf_combined,0.5,1.0,95,6,knn,8,True,True,0.044150836832698444
matcomplete,0.5,1.0,95,6,na,0,True,True,0.032666293237866385
rbf_paired,0.5,1.0,95,7,knn,8,True,True,0.05207224127658971
rbf_unpaired,0.5,1.0,95,7,knn,8,True,True,0.05373410485830822
rbf_combined,0.5,1.0,95,7,knn,8,True,True,0.0421819944596129
matcomplete,0.5,1.0,95,7,na,0,True,True,0.03770111616201235
rbf_paired,0.5,1.0,95,8,knn,8,True,True,0.05048830987727768
rbf_unpaired,0.5,1.0,95,8,knn,8,True,True,0.0495052671881718
rbf_combined,0.5,1.0,95,8,knn,8,True,True,0.03945876298829188
matcomplete,0.5,1.0,95,8,na,0,True,True,0.030727805240082253
rbf_paired,0.5,1.0,95,9,knn,8,True,True,0.05175526053516624
rbf_unpaired,0.5,1.0,95,9,knn,8,True,True,0.049799604756137796
rbf_combined,0.5,1.0,95,9,knn,8,True,True,0.04326060725229622
matcomplete,0.5,1.0,95,9,na,0,True,True,0.02989178617107921
rbf_paired,0.5,1.0,95,10,knn,8,True,True,0.05552010434244823
rbf_unpaired,0.5,1.0,95,10,knn,8,True,True,0.05852243205927005
rbf_combined,0.5,1.0,95,10,knn,8,True,True,0.049490287078822866
matcomplete,0.5,1.0,95,10,na,0,True,True,0.03498210727262205
rbf_paired,0.5,1.0,95,11,knn,8,True,True,0.05926062254681833
rbf_unpaired,0.5,1.0,95,11,knn,8,True,True,0.05824675840228614
rbf_combined,0.5,1.0,95,11,knn,8,True,True,0.051323988743487224
matcomplete,0.5,1.0,95,11,na,0,True,True,0.04600340539154796
rbf_paired,0.5,1.0,95,12,knn,8,True,True,0.0594944840848733
rbf_unpaired,0.5,1.0,95,12,knn,8,True,True,0.05595802575802486
rbf_combined,0.5,1.0,95,12,knn,8,True,True,0.04265037721495786
matcomplete,0.5,1.0,95,12,na,0,True,True,0.03301362809856589
rbf_paired,0.5,1.0,95,13,knn,8,True,True,0.049639550175637814
rbf_unpaired,0.5,1.0,95,13,knn,8,True,True,0.05430219491370777
rbf_combined,0.5,1.0,95,13,knn,8,True,True,0.04141669563654936
matcomplete,0.5,1.0,95,13,na,0,True,True,0.03263611302380538
rbf_paired,0.5,1.0,95,14,knn,8,True,True,0.0588749592715923
rbf_unpaired,0.5,1.0,95,14,knn,8,True,True,0.05492973949625632
rbf_combined,0.5,1.0,95,14,knn,8,True,True,0.0475086909116266
matcomplete,0.5,1.0,95,14,na,0,True,True,0.03602457766235122
rbf_paired,0.5,1.0,95,15,knn,8,True,True,0.06139323163558341
rbf_unpaired,0.5,1.0,95,15,knn,8,True,True,0.06173538205624611
rbf_combined,0.5,1.0,95,15,knn,8,True,True,0.054440911063624635
matcomplete,0.5,1.0,95,15,na,0,True,True,0.039614437363611636
rbf_paired,0.5,1.0,95,16,knn,8,True,True,0.05102964739876934
rbf_unpaired,0.5,1.0,95,16,knn,8,True,True,0.049754876706531816
rbf_combined,0.5,1.0,95,16,knn,8,True,True,0.0419440489806313
