estimator,obs_prob,seed,rmse
rbf_combined,0.5,4,0.23165351700060446
rbf_paired,0.5,5,0.29835955139612846
rbf_unpaired,0.5,5,0.3009579820889023
rbf_combined,0.5,5,0.20325704724167895
rbf_paired,0.5,6,0.2937099190056197
rbf_unpaired,0.5,6,0.3038333185735819
rbf_combined,0.5,6,0.22253558632169437
rbf_paired,0.5,7,0.2978641203419168
rbf_unpaired,0.5,7,0.29952974551357997
rbf_combined,0.5,7,0.22651817800008095
rbf_paired,0.5,8,0.29686796420495554
rbf_unpaired,0.5,8,0.30529201380376786
rbf_combined,0.5,8,0.18359632747723365
rbf_paired,0.5,9,0.2959080144949872
rbf_unpaired,0.5,9,0.30088264041654783
rbf_combined,0.5,9,0.22520579112991554
rbf_paired,0.5,10,0.27845420200194676
rbf_unpaired,0.5,10,0.2805164054083545
rbf_combined,0.5,10,0.19615423569381113
rbf_paired,0.5,11,0.3107288664483223
rbf_unpaired,0.5,11,0.31557496258940826
rbf_combined,0.5,11,0.20984391896330506
rbf_paired,0.5,12,0.2842697496016737
rbf_unpaired,0.5,12,0.31252308554443115
rbf_combined,0.5,12,0.20074523625255586
rbf_paired,0.5,13,0.3105414943600023
rbf_unpaired,0.5,13,0.3118401252454718
rbf_combined,0.5,13,0.23419664763668285
rbf_paired,0.5,14,0.28737948527296175
rbf_unpaired,0.5,14,0.2959044781798122
rbf_combined,0.5,14,0.22689767831357588
rbf_paired,0.5,15,0.29602929736391115
rbf_unpaired,0.5,15,0.3047772116671378
rbf_combined,0.5,15,0.2066559163829044
rbf_paired,0.5,16,0.30849944545106284
rbf_unpaired,0.5,16,0.3047577271102255
rbf_combined,0.5,16,0.22051271930415747
rbf_paired,0.5,17,0.31507859771889996
rbf_unpaired,0.5,17,0.3017952228644304
rbf_combined,0.5,17,0.20724256670956306
rbf_paired,0.5,18,0.30267605502680084
rbf_unpaired,0.5,18,0.31519995564354886
rbf_combined,0.5,18,0.22774844717549536
rbf_paired,0.5,19,0.2998405486951914
rbf_unpaired,0.5,19,0.2993272739990077
rbf_combined,0.5,19,0.22267627436331816
rbf_paired,0.5,20,0.2983136647394282
rbf_unpaired,0.5,20,0.2994913679646206
rbf_combined,0.5,20,0.20681903212144825
rbf_paired,0.5,21,0.2935641338486021
rbf_unpaired,0.5,21,0.298624697305096
rbf_combined,0.5,21,0.18957587140695353
rbf_paired,0.5,22,0.30057007584102907
rbf_unpaired,0.5,22,0.3033242083210037
rbf_combined,0.5,22,0.21363637759420784
rbf_paired,0.5,23,0.30162363388442537
rbf_unpaired,0.5,23,0.3112735212998623
rbf_combined,0.5,23,0.22602524516570258
rbf_paired,0.5,24,0.3172558287063084
