n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
2,0,2,95,437,10,sample,0.27026376008671565,
2,0,2,95,437,10,irt,0.24466663143422518,
2,0,2,95,437,10,dkps,0.09936635399952609,
2,0,2,95,437,10,pkps,0.09864702999153031,5.0
2,0,2,95,437,10,ens,0.09497120894944505,
2,0,2,95,437,11,sample,0.19986751776466338,
2,0,2,95,437,11,irt,0.16141403275764515,
2,0,2,95,437,11,dkps,0.12722279867303884,
2,0,2,95,437,11,pkps,0.12466776834518846,0.5
2,0,2,95,437,11,ens,0.10149411731783252,
2,0,2,95,437,12,sample,0.2414669396603637,
2,0,2,95,437,12,irt,0.22534645764288133,
2,0,2,95,437,12,dkps,0.1392878927264394,
2,0,2,95,437,12,pkps,0.1390072656618345,1.0
2,0,2,95,437,12,ens,0.12117060886246431,
2,0,2,95,437,13,sample,0.218655907503312,
2,0,2,95,437,13,irt,0.18617421913182014,
2,0,2,95,437,13,dkps,0.11807364489554363,
2,0,2,95,437,13,pkps,0.11681794332221651,0.5
2,0,2,95,437,13,ens,0.11069768060736428,
2,0,2,95,437,14,sample,0.29809707334698304,
2,0,2,95,437,14,irt,0.2684399613844741,
2,0,2,95,437,14,dkps,0.11921430898750711,
2,0,2,95,437,14,pkps,0.11689653711053136,0.5
2,0,2,95,437,14,ens,0.11455902968394314,
2,0,2,95,437,15,sample,0.23969649524268333,
2,0,2,95,437,15,irt,0.22521557921365426,
2,0,2,95,437,15,dkps,0.13845104764722266,
2,0,2,95,437,15,pkps,0.13811721161455412,0.5
2,0,2,95,437,15,ens,0.13134438801881362,
2,0,2,95,437,16,sample,0.24027459954233404,
2,0,2,95,437,16,irt,0.225358338761953,
2,0,2,95,437,16,dkps,0.11927402861225772,
2,0,2,95,437,16,pkps,0.11927402861225772,0.02
2,0,2,95,437,16,ens,0.1161415338198751,
2,0,2,95,437,17,sample,0.22037817656268818,
2,0,2,95,437,17,irt,0.20366567921983678,
2,0,2,95,437,17,dkps,0.1256662564588349,
2,0,2,95,437,17,pkps,0.1240145820025473,2.0
2,0,2,95,437,17,ens,0.11755239004885644,
2,0,2,95,437,18,sample,0.2462724316512104,
2,0,2,95,437,18,irt,0.21101146957187913,
2,0,2,95,437,18,dkps,0.107996827670046,
2,0,2,95,437,18,pkps,0.10799682730080498,0.20000000000000004
2,0,2,95,437,18,ens,0.10681066346396997,
2,0,2,95,437,19,sample,0.31674093701071904,
2,0,2,95,437,19,irt,0.28855626325803635,
2,0,2,95,437,19,dkps,0.1236749156714997,
2,0,2,95,437,19,pkps,0.12254290432852907,2.0
2,0,2,95,437,19,ens,0.12067855554395697,
4,0,4,95,437,0,sample,0.1460134891003252,
4,0,4,95,437,0,irt,0.1312273191656206,
4,0,4,95,437,0,dkps,0.10541796476923516,
4,0,4,95,437,0,pkps,0.10098253041754839,1.0
4,0,4,95,437,0,ens,0.08961719533371519,
4,0,4,95,437,1,sample,0.26309767553896185,
4,0,4,95,437,1,irt,0.2514802691862307,
4,0,4,95,437,1,dkps,0.11157378190391386,
4,0,4,95,437,1,pkps,0.10444936780753805,1.0
4,0,4,95,437,1,ens,0.10161494658714691,
4,0,4,95,437,2,sample,0.15758159701312777,
4,0,4,95,437,2,irt,0.14121398615560507,
4,0,4,95,437,2,dkps,0.10379143143315214,
4,0,4,95,437,2,pkps,0.10022895215150052,0.2
4,0,4,95,437,2,ens,0.09198335693626167,
4,0,4,95,437,3,sample,0.15067445501625915,
4,0,4,95,437,3,irt,0.13870278871574973,
4,0,4,95,437,3,dkps,0.1240412492980447,
4,0,4,95,437,3,pkps,0.11478465187652874,1.0
4,0,4,95,437,3,ens,0.10088054560559584,
4,0,4,95,437,4,sample,0.1665723232566542,
4,0,4,95,437,4,irt,0.15440742009413666,
4,0,4,95,437,4,dkps,0.11119256003048793,
4,0,4,95,437,4,pkps,0.10896167525654246,0.5
4,0,4,95,437,4,ens,0.0938634404442056,
4,0,4,95,437,5,sample,0.1288570396242322,
4,0,4,95,437,5,irt,0.12083845228162002,
4,0,4,95,437,5,dkps,0.11388900799776133,
4,0,4,95,437,5,pkps,0.11388898837593507,0.2
4,0,4,95,437,5,ens,0.08910258662572956,
4,0,4,95,437,6,sample,0.18102493074792245,
4,0,4,95,437,6,irt,0.17684400895394883,
4,0,4,95,437,6,dkps,0.1129005231313597,
4,0,4,95,437,6,pkps,0.11157770926366754,1.0
4,0,4,95,437,6,ens,0.1094550840486488,
4,0,4,95,437,7,sample,0.1573527640611827,
4,0,4,95,437,7,irt,0.14255996482889716,
4,0,4,95,437,7,dkps,0.10511433438740277,
4,0,4,95,437,7,pkps,0.10511431024914789,0.2
4,0,4,95,437,7,ens,0.09290591404024401,
4,0,4,95,437,8,sample,0.18177164880163793,
4,0,4,95,437,8,irt,0.16752891858852598,
4,0,4,95,437,8,dkps,0.09382474381895727,
4,0,4,95,437,8,pkps,0.09309984370994427,0.20000000000000004
4,0,4,95,437,8,ens,0.08629785935279423,
4,0,4,95,437,9,sample,0.1521558472841142,
4,0,4,95,437,9,irt,0.13917777636388598,
4,0,4,95,437,9,dkps,0.09122251553457897,
4,0,4,95,437,9,pkps,0.0865884932925509,2.0
4,0,4,95,437,9,ens,0.08251302497908002,
4,0,4,95,437,10,sample,0.13868481271829458,
4,0,4,95,437,10,irt,0.12286000201454536,
4,0,4,95,437,10,dkps,0.10964392782369654,
4,0,4,95,437,10,pkps,0.10964372942743833,0.2
4,0,4,95,437,10,ens,0.08241930421508531,
4,0,4,95,437,11,sample,0.11621100806937253,
4,0,4,95,437,11,irt,0.09970814969997024,
4,0,4,95,437,11,dkps,0.12147647710763125,
4,0,4,95,437,11,pkps,0.1138635273387788,2.0
4,0,4,95,437,11,ens,0.08459911925259117,
4,0,4,95,437,12,sample,0.20096952908587257,
4,0,4,95,437,12,irt,0.192888959139508,
4,0,4,95,437,12,dkps,0.139338396765226,
4,0,4,95,437,12,pkps,0.13792702951103114,0.5
4,0,4,95,437,12,ens,0.12442783693295972,
4,0,4,95,437,13,sample,0.15465494399614596,
4,0,4,95,437,13,irt,0.14408411856553058,
4,0,4,95,437,13,dkps,0.10413225464122984,
4,0,4,95,437,13,pkps,0.10272449019232302,0.05
4,0,4,95,437,13,ens,0.08981622191663907,
4,0,4,95,437,14,sample,0.1864085270384199,
4,0,4,95,437,14,irt,0.17712005671622721,
4,0,4,95,437,14,dkps,0.10738847383160774,
4,0,4,95,437,14,pkps,0.10457592144077257,5.0
4,0,4,95,437,14,ens,0.08615151584003741,
4,0,4,95,437,15,sample,0.1340840660002409,
4,0,4,95,437,15,irt,0.1198415097487875,
4,0,4,95,437,15,dkps,0.09921066279163415,
4,0,4,95,437,15,pkps,0.09892204799358734,0.5
4,0,4,95,437,15,ens,0.08852582021240492,
4,0,4,95,437,16,sample,0.17196194146693966,
4,0,4,95,437,16,irt,0.16460346020322364,
4,0,4,95,437,16,dkps,0.09303617258735551,
4,0,4,95,437,16,pkps,0.09251890323855363,0.5
4,0,4,95,437,16,ens,0.08617298370965103,
4,0,4,95,437,17,sample,0.16430808141635556,
4,0,4,95,437,17,irt,0.14435733819358795,
4,0,4,95,437,17,dkps,0.12644205232495556,
4,0,4,95,437,17,pkps,0.11098288869239567,5.0
4,0,4,95,437,17,ens,0.10374533019580501,
4,0,4,95,437,18,sample,0.1503613151872817,
4,0,4,95,437,18,irt,0.14185904743444214,
4,0,4,95,437,18,dkps,0.09856270087161215,
4,0,4,95,437,18,pkps,0.09841684763001414,0.5
4,0,4,95,437,18,ens,0.09059913368068137,
4,0,4,95,437,19,sample,0.25884620016861376,
4,0,4,95,437,19,irt,0.24549237280761146,
4,0,4,95,437,19,dkps,0.11562237899219498,
4,0,4,95,437,19,pkps,0.10952527650469668,2.0
4,0,4,95,437,19,ens,0.10621499485763226,
8,0,8,95,437,0,sample,0.09374322534023845,
8,0,8,95,437,0,irt,0.08889803812323956,
8,0,8,95,437,0,dkps,0.09685541870439167,
8,0,8,95,437,0,pkps,0.09685541870439167,0.02
8,0,8,95,437,0,ens,0.07269497530985759,
8,0,8,95,437,1,sample,0.18643562567746597,
8,0,8,95,437,1,irt,0.1851889876053907,
8,0,8,95,437,1,dkps,0.11375182079326414,
8,0,8,95,437,1,pkps,0.10685120363164825,5.0
8,0,8,95,437,1,ens,0.09704186182502611,
8,0,8,95,437,2,sample,0.11086354329760326,
8,0,8,95,437,2,irt,0.1054818825502568,
8,0,8,95,437,2,dkps,0.09699439743739767,
8,0,8,95,437,2,pkps,0.09698139181651978,0.20000000000000004
8,0,8,95,437,2,ens,0.07811148292402013,
8,0,8,95,437,3,sample,0.13791099602553294,
8,0,8,95,437,3,irt,0.13073689457619958,
8,0,8,95,437,3,dkps,0.09879895510581232,
8,0,8,95,437,3,pkps,0.0982997345813594,1.0
8,0,8,95,437,3,ens,0.08830324799784439,
8,0,8,95,437,4,sample,0.14529688064554977,
8,0,8,95,437,4,irt,0.14277491875028162,
8,0,8,95,437,4,dkps,0.10924475592530858,
8,0,8,95,437,4,pkps,0.10429043591110336,5.000000000000001
8,0,8,95,437,4,ens,0.09081654419332723,
8,0,8,95,437,5,sample,0.10579308683608334,
8,0,8,95,437,5,irt,0.10101325644299271,
8,0,8,95,437,5,dkps,0.09216963303911023,
8,0,8,95,437,5,pkps,0.09171534467136061,0.1
8,0,8,95,437,5,ens,0.06699937710800132,
8,0,8,95,437,6,sample,0.08793207274479102,
8,0,8,95,437,6,irt,0.08158134042711987,
8,0,8,95,437,6,dkps,0.09745465374492186,
8,0,8,95,437,6,pkps,0.09403113852440134,5.0
8,0,8,95,437,6,ens,0.07302334807249876,
8,0,8,95,437,7,sample,0.08763699867517762,
8,0,8,95,437,7,irt,0.0829102768432598,
8,0,8,95,437,7,dkps,0.1154949490251349,
8,0,8,95,437,7,pkps,0.1075925057264941,0.5
8,0,8,95,437,7,ens,0.06836324939510417,
8,0,8,95,437,8,sample,0.09361977598458392,
8,0,8,95,437,8,irt,0.08186327640343247,
8,0,8,95,437,8,dkps,0.0885653609229185,
8,0,8,95,437,8,pkps,0.08856514386650528,0.2
8,0,8,95,437,8,ens,0.06580367977842919,
8,0,8,95,437,9,sample,0.0964862098036854,
8,0,8,95,437,9,irt,0.09087116763989485,
8,0,8,95,437,9,dkps,0.09316057331876632,
8,0,8,95,437,9,pkps,0.09260624780156373,0.2
8,0,8,95,437,9,ens,0.07688177774004365,
8,0,8,95,437,10,sample,0.09732024569432735,
8,0,8,95,437,10,irt,0.09152122778910794,
8,0,8,95,437,10,dkps,0.11063324934913951,
8,0,8,95,437,10,pkps,0.11063324934913951,0.02
8,0,8,95,437,10,ens,0.06860073088925213,
8,0,8,95,437,11,sample,0.11004456220643141,
8,0,8,95,437,11,irt,0.10681682562638804,
8,0,8,95,437,11,dkps,0.10699605958546546,
8,0,8,95,437,11,pkps,0.10699605958546546,0.020000000000000004
8,0,8,95,437,11,ens,0.0874263518845385,
8,0,8,95,437,12,sample,0.10795495603998552,
8,0,8,95,437,12,irt,0.10134631946396624,
8,0,8,95,437,12,dkps,0.10514252799726362,
8,0,8,95,437,12,pkps,0.10379223056619456,0.2
8,0,8,95,437,12,ens,0.07457201811814912,
8,0,8,95,437,13,sample,0.13397567144405637,
8,0,8,95,437,13,irt,0.1265505896836398,
8,0,8,95,437,13,dkps,0.09480274598519904,
8,0,8,95,437,13,pkps,0.09415208253828367,2.0
8,0,8,95,437,13,ens,0.08196968162403827,
8,0,8,95,437,14,sample,0.09215042755630493,
8,0,8,95,437,14,irt,0.08676646931648477,
8,0,8,95,437,14,dkps,0.0868769601515068,
8,0,8,95,437,14,pkps,0.08686611352742338,0.05
8,0,8,95,437,14,ens,0.06689397942214928,
8,0,8,95,437,15,sample,0.13597494881368183,
8,0,8,95,437,15,irt,0.12405960259965314,
8,0,8,95,437,15,dkps,0.10704165558974696,
8,0,8,95,437,15,pkps,0.10640740622018305,0.5
8,0,8,95,437,15,ens,0.08900791359148844,
8,0,8,95,437,16,sample,0.13060038540286645,
8,0,8,95,437,16,irt,0.12628719582805573,
8,0,8,95,437,16,dkps,0.09639981267093736,
8,0,8,95,437,16,pkps,0.09447737977861109,5.0
8,0,8,95,437,16,ens,0.07873773450188948,
8,0,8,95,437,17,sample,0.09126219438757077,
8,0,8,95,437,17,irt,0.08676181843449687,
8,0,8,95,437,17,dkps,0.08293728514662353,
8,0,8,95,437,17,pkps,0.07994701002295179,0.5
8,0,8,95,437,17,ens,0.06625350762710615,
8,0,8,95,437,18,sample,0.12242562929061787,
8,0,8,95,437,18,irt,0.11387138055479504,
8,0,8,95,437,18,dkps,0.09875568312549009,
8,0,8,95,437,18,pkps,0.09776061474800206,0.5
8,0,8,95,437,18,ens,0.08416351608316004,
8,0,8,95,437,19,sample,0.09613091653619175,
8,0,8,95,437,19,irt,0.08550845044085716,
8,0,8,95,437,19,dkps,0.08926690831583928,
8,0,8,95,437,19,pkps,0.08876882779706011,0.1
8,0,8,95,437,19,ens,0.06611955017133081,
16,0,16,95,437,0,sample,0.07340118029627844,
16,0,16,95,437,0,irt,0.07235382103444372,
16,0,16,95,437,0,dkps,0.09603906845016263,
16,0,16,95,437,0,pkps,0.09603906845016263,0.02
16,0,16,95,437,0,ens,0.06398356741057325,
16,0,16,95,437,1,sample,0.06977598458388536,
16,0,16,95,437,1,irt,0.06870478390254363,
16,0,16,95,437,1,dkps,0.08664729863760381,
16,0,16,95,437,1,pkps,0.082187595855987,1.0
16,0,16,95,437,1,ens,0.060111942580735635,
16,0,16,95,437,2,sample,0.07628718535469108,
16,0,16,95,437,2,irt,0.07386821798149136,
16,0,16,95,437,2,dkps,0.08914657124330148,
16,0,16,95,437,2,pkps,0.08914656130459839,0.05000000000000001
16,0,16,95,437,2,ens,0.061316073129661114,
16,0,16,95,437,3,sample,0.07001234493556545,
16,0,16,95,437,3,irt,0.06839949780912002,
16,0,16,95,437,3,dkps,0.0827046453628457,
16,0,16,95,437,3,pkps,0.0827046453628457,0.019999999999999997
16,0,16,95,437,3,ens,0.05538224252795223,
16,0,16,95,437,4,sample,0.07689690473322895,
16,0,16,95,437,4,irt,0.07636936057899744,
16,0,16,95,437,4,dkps,0.0961608373797165,
16,0,16,95,437,4,pkps,0.09233374661687492,0.05
16,0,16,95,437,4,ens,0.0693177445447007,
16,0,16,95,437,5,sample,0.07785137901963145,
