obs_prob,query_obs_prob,estimator,mean,std,count
0.9,0.3,matcomplete,0.10965154030875028,0.019283725054410422,20
0.9,0.3,rbf_combined,0.0980804936962646,0.01417599887668069,20
0.9,0.3,rbf_paired,0.09840172800259632,0.014850514135285936,20
0.9,0.3,rbf_unpaired,0.119000960295263,0.01635051939570674,20
0.9,0.5,matcomplete,0.08814144827310047,0.013165311753118967,20
0.9,0.5,rbf_combined,0.07259761465615396,0.010669027279134389,20
0.9,0.5,rbf_paired,0.07548752106579847,0.009296301720473202,20
0.9,0.5,rbf_unpaired,0.09554455267378316,0.013461082147210476,20
0.9,1.0,matcomplete,0.07479738511558162,0.013272371633039388,20
0.9,1.0,rbf_combined,0.05964809462662072,0.006246182708453038,20
0.9,1.0,rbf_paired,0.06274851276163416,0.0060460894371282565,20
0.9,1.0,rbf_unpaired,0.08834425853943476,0.012173912676563469,20
