estimator,obs_prob,query_obs_prob,n_models,seed,rmse
rbf_paired,0.3,0.5,95,11,0.3075252530320523
rbf_unpaired,0.3,0.5,95,11,0.30029400956867525
rbf_combined,0.3,0.5,95,11,0.24067925969893558
rbf_paired,0.3,0.5,95,12,0.3056387905766485
rbf_unpaired,0.3,0.5,95,12,0.3091728528619019
rbf_combined,0.3,0.5,95,12,0.2482831155948613
rbf_paired,0.3,0.5,95,13,0.3257502450245516
rbf_unpaired,0.3,0.5,95,13,0.31683982766159596
rbf_combined,0.3,0.5,95,13,0.249485052392967
rbf_paired,0.3,0.5,95,14,0.31395853036785154
rbf_unpaired,0.3,0.5,95,14,0.31392902881428075
rbf_combined,0.3,0.5,95,14,0.22857833990782134
rbf_paired,0.3,0.5,95,15,0.2952429380822057
rbf_unpaired,0.3,0.5,95,15,0.29810297814595743
rbf_combined,0.3,0.5,95,15,0.23658127069257684
rbf_paired,0.3,0.5,95,16,0.325216577030286
rbf_unpaired,0.3,0.5,95,16,0.31770613665784214
rbf_combined,0.3,0.5,95,16,0.2516853819618156
rbf_paired,0.3,0.5,95,17,0.30973398669243013
rbf_unpaired,0.3,0.5,95,17,0.31200373233327067
rbf_combined,0.3,0.5,95,17,0.2433109434702411
rbf_paired,0.3,0.5,95,18,0.31640578117515306
rbf_unpaired,0.3,0.5,95,18,0.3140796913014182
rbf_combined,0.3,0.5,95,18,0.24460222493636988
rbf_paired,0.3,0.5,95,19,0.30739393203397436
rbf_unpaired,0.3,0.5,95,19,0.30076787620727335
rbf_combined,0.3,0.5,95,19,0.25831615496970495
rbf_paired,0.3,0.5,95,20,0.2985122188486667
rbf_unpaired,0.3,0.5,95,20,0.30603954592301114
rbf_combined,0.3,0.5,95,20,0.24505496432471133
rbf_paired,0.3,0.5,95,21,0.315502716194714
rbf_unpaired,0.3,0.5,95,21,0.31071462227770874
rbf_combined,0.3,0.5,95,21,0.24495123522591317
rbf_paired,0.3,0.5,95,22,0.30543320979283733
rbf_unpaired,0.3,0.5,95,22,0.29842521365090763
rbf_combined,0.3,0.5,95,22,0.23614594186959673
rbf_paired,0.3,0.5,95,23,0.3014950730851225
rbf_unpaired,0.3,0.5,95,23,0.31797922286420477
rbf_combined,0.3,0.5,95,23,0.2642337525103896
rbf_paired,0.3,0.5,95,24,0.3195344126642171
rbf_unpaired,0.3,0.5,95,24,0.3009513300917483
rbf_combined,0.3,0.5,95,24,0.2498990545372756
rbf_paired,0.3,0.7,95,0,0.3197634510970491
rbf_unpaired,0.3,0.7,95,0,0.3094380866544013
rbf_combined,0.3,0.7,95,0,0.2670769665034202
rbf_paired,0.3,0.7,95,1,0.3097071563929362
rbf_unpaired,0.3,0.7,95,1,0.31623712542360943
