m_p,m_u,seed,estimator,mse
25,0,19,combined,0.04189375251026007
25,0,19,pooled,0.04189375251026007
25,0,20,paired,0.013666966968255066
25,0,20,unpaired,
25,0,20,combined,0.013666966968255066
25,0,20,pooled,0.013666966968255066
25,0,21,paired,0.011529888508316767
25,0,21,unpaired,
25,0,21,combined,0.011529888508316767
25,0,21,pooled,0.011529888508316767
25,0,22,paired,0.014170729545371082
25,0,22,unpaired,
25,0,22,combined,0.014170729545371082
25,0,22,pooled,0.014170729545371082
25,0,23,paired,0.014121320366192238
25,0,23,unpaired,
25,0,23,combined,0.014121320366192238
25,0,23,pooled,0.014121320366192238
25,0,24,paired,0.006855384137818411
25,0,24,unpaired,
25,0,24,combined,0.006855384137818411
25,0,24,pooled,0.006855384137818411
25,0,25,paired,0.005471264515093269
25,0,25,unpaired,
25,0,25,combined,0.005471264515093269
25,0,25,pooled,0.005471264515093269
25,0,26,paired,0.014585636173502869
25,0,26,unpaired,
25,0,26,combined,0.014585636173502869
25,0,26,pooled,0.014585636173502869
25,0,27,paired,0.009282142231171837
25,0,27,unpaired,
25,0,27,combined,0.009282142231171837
25,0,27,pooled,0.009282142231171837
25,0,28,paired,0.010463142588346798
25,0,28,unpaired,
25,0,28,combined,0.010463142588346798
25,0,28,pooled,0.010463142588346798
25,0,29,paired,0.03611647922602219
25,0,29,unpaired,
25,0,29,combined,0.03611647922602219
25,0,29,pooled,0.03611647922602219
25,0,30,paired,0.01693600098218971
25,0,30,unpaired,
25,0,30,combined,0.01693600098218971
25,0,30,pooled,0.01693600098218971
25,0,31,paired,0.017102836020367055
25,0,31,unpaired,
25,0,31,combined,0.017102836020367055
25,0,31,pooled,0.017102836020367055
25,0,32,paired,0.020074947996458734
25,0,32,unpaired,
25,0,32,combined,0.020074947996458734
25,0,32,pooled,0.020074947996458734
25,0,33,paired,0.011379654606833963
25,0,33,unpaired,
25,0,33,combined,0.011379654606833963
25,0,33,pooled,0.011379654606833963
25,0,34,paired,0.007653565968981441
25,0,34,unpaired,
25,0,34,combined,0.007653565968981441
25,0,34,pooled,0.007653565968981441
25,0,35,paired,0.019299912220337147
25,0,35,unpaired,
25,0,35,combined,0.019299912220337147
25,0,35,pooled,0.019299912220337147
