experiment,estimator,mae,seed,obs_prob
task_parity,rbf_paired,1.8130556741403352,1,0.2
task_parity,rbf_unpaired,1.5644371340391627,1,0.2
task_parity,rbf_combined,1.4100119577575316,1,0.2
task_parity,rbf_paired,1.691562789689498,2,0.2
task_parity,rbf_unpaired,1.456006832912944,2,0.2
task_parity,rbf_combined,1.1899366181177342,2,0.2
task_parity,rbf_paired,1.7733185606252815,3,0.2
task_parity,rbf_unpaired,1.3361406115527337,3,0.2
task_parity,rbf_combined,1.1781589836329052,3,0.2
task_parity,rbf_paired,1.7915479569767292,4,0.2
task_parity,rbf_unpaired,1.4511007361061201,4,0.2
task_parity,rbf_combined,1.2868873429436933,4,0.2
task_parity,rbf_paired,1.8686858741332246,5,0.2
task_parity,rbf_unpaired,1.4553613540688974,5,0.2
task_parity,rbf_combined,1.3223380268591491,5,0.2
task_parity,rbf_paired,1.6607371298356157,6,0.2
task_parity,rbf_unpaired,1.3247981643566664,6,0.2
task_parity,rbf_combined,1.170070889686185,6,0.2
task_parity,rbf_paired,1.449411801346251,7,0.2
task_parity,rbf_unpaired,1.0429509562156103,7,0.2
task_parity,rbf_combined,1.0347344110578909,7,0.2
task_parity,rbf_paired,1.744946649897646,8,0.2
task_parity,rbf_unpaired,1.4441085517703691,8,0.2
task_parity,rbf_combined,1.3084823368727987,8,0.2
task_parity,rbf_paired,1.8850468031971945,9,0.2
task_parity,rbf_unpaired,1.4221517967204502,9,0.2
task_parity,rbf_combined,1.2700136531981587,9,0.2
task_parity,rbf_paired,1.882139782653045,10,0.2
task_parity,rbf_unpaired,1.5350810075904022,10,0.2
task_parity,rbf_combined,1.3198481912042417,10,0.2
task_parity,rbf_paired,1.7135055174530354,11,0.2
task_parity,rbf_unpaired,1.4002775397637948,11,0.2
task_parity,rbf_combined,1.2510184842784866,11,0.2
task_parity,rbf_paired,1.8713295450050027,12,0.2
task_parity,rbf_unpaired,1.6952140495544874,12,0.2
task_parity,rbf_combined,1.3101718827418622,12,0.2
