experiment,estimator,rmse,seed,n_models
n_models,rbf_unpaired,1.853625413848594,11,20
n_models,rbf_combined,1.8286930408395985,11,20
n_models,rbf_paired,1.8612433707836016,12,20
n_models,rbf_unpaired,1.825515415870247,12,20
n_models,rbf_combined,1.7688227212796177,12,20
n_models,rbf_paired,2.9585710506425467,13,20
n_models,rbf_unpaired,2.9227437923826822,13,20
n_models,rbf_combined,2.878556199689949,13,20
n_models,rbf_paired,2.373473179266811,14,20
n_models,rbf_unpaired,2.317148582284889,14,20
n_models,rbf_combined,2.1930980303217558,14,20
n_models,rbf_paired,2.191332710134862,15,20
n_models,rbf_unpaired,2.231342523750845,15,20
n_models,rbf_combined,2.1541023206549585,15,20
n_models,rbf_paired,2.311607728336127,16,20
n_models,rbf_unpaired,2.266554168060027,16,20
n_models,rbf_combined,2.254598398638508,16,20
n_models,rbf_paired,3.171465146297296,17,20
n_models,rbf_unpaired,3.043418425578108,17,20
n_models,rbf_combined,2.965755444077808,17,20
n_models,rbf_paired,2.2133652046541967,18,20
n_models,rbf_unpaired,2.290163313569349,18,20
n_models,rbf_combined,2.240276303856497,18,20
n_models,rbf_paired,2.201424892466368,19,20
n_models,rbf_unpaired,2.252100132030404,19,20
n_models,rbf_combined,2.13024457958076,19,20
n_models,rbf_paired,2.746056679763303,20,20
n_models,rbf_unpaired,2.762182255136873,20,20
n_models,rbf_combined,2.677779282149967,20,20
n_models,rbf_paired,1.9284878853585643,21,20
n_models,rbf_unpaired,1.9815458349033903,21,20
n_models,rbf_combined,1.8917708209671056,21,20
n_models,rbf_paired,2.4983739271750505,22,20
n_models,rbf_unpaired,2.3202123176386387,22,20
n_models,rbf_combined,2.261895133258374,22,20
n_models,rbf_paired,2.533406113955045,23,20
n_models,rbf_unpaired,2.46379853581152,23,20
n_models,rbf_combined,2.4222818950074587,23,20
n_models,rbf_paired,2.705063101467968,24,20
n_models,rbf_unpaired,2.590908759681461,24,20
n_models,rbf_combined,2.583797946530077,24,20
n_models,rbf_paired,2.246378964665247,25,20
n_models,rbf_unpaired,2.3002616853375284,25,20
n_models,rbf_combined,2.203475315491083,25,20
n_models,rbf_paired,2.9688636792139644,26,20
n_models,rbf_unpaired,2.916205009822288,26,20
n_models,rbf_combined,2.8010421073868508,26,20
n_models,rbf_paired,2.390396889563219,27,20
n_models,rbf_unpaired,2.3639119742897168,27,20
n_models,rbf_combined,2.2636500703075426,27,20
n_models,rbf_paired,2.164329022165021,28,20
n_models,rbf_unpaired,2.148495881545242,28,20
n_models,rbf_combined,2.1152454049767124,28,20
n_models,rbf_paired,2.555984466442292,29,20
n_models,rbf_unpaired,2.363029433091174,29,20
n_models,rbf_combined,2.242459248942944,29,20
n_models,rbf_paired,2.4348866484361205,30,20
n_models,rbf_unpaired,2.39927140567217,30,20
n_models,rbf_combined,2.296148006042713,30,20
n_models,rbf_paired,2.0801927237226767,31,20
n_models,rbf_unpaired,1.749352618001958,31,20
n_models,rbf_combined,1.6968425016710398,31,20
n_models,rbf_paired,2.212645855377726,32,20
n_models,rbf_unpaired,2.106288909651304,32,20
n_models,rbf_combined,2.05405924568353,32,20
n_models,rbf_paired,1.9982969982468413,33,20
n_models,rbf_unpaired,2.0285323425255024,33,20
n_models,rbf_combined,1.9144110578234377,33,20
n_models,rbf_paired,2.2641202590943603,34,20
n_models,rbf_unpaired,2.307652216766329,34,20
n_models,rbf_combined,2.260070468578115,34,20
n_models,rbf_paired,2.7015424155929164,35,20
n_models,rbf_unpaired,2.5977939746668466,35,20
n_models,rbf_combined,2.5197587052142705,35,20
n_models,rbf_paired,2.242808983538731,36,20
n_models,rbf_unpaired,2.124938853466713,36,20
n_models,rbf_combined,2.089716088980703,36,20
n_models,rbf_paired,2.1932149100975304,37,20
n_models,rbf_unpaired,2.148857651737177,37,20
n_models,rbf_combined,2.112434829321544,37,20
n_models,rbf_paired,2.151626966292141,38,20
n_models,rbf_unpaired,2.069435077765976,38,20
n_models,rbf_combined,2.045355267806963,38,20
n_models,rbf_paired,1.7248896027842622,39,20
n_models,rbf_unpaired,1.6647125537875682,39,20
n_models,rbf_combined,1.6548826957014962,39,20
n_models,rbf_paired,2.4321882835070974,40,20
n_models,rbf_unpaired,2.302443941235517,40,20
n_models,rbf_combined,2.169523992831312,40,20
n_models,rbf_paired,2.0785110457266094,41,20
n_models,rbf_unpaired,2.0956521715507903,41,20
n_models,rbf_combined,2.041892022546797,41,20
n_models,rbf_paired,1.7495588884759532,42,20
n_models,rbf_unpaired,1.7020043971061698,42,20
n_models,rbf_combined,1.667829915072936,42,20
n_models,rbf_paired,2.628783407618314,43,20
n_models,rbf_unpaired,2.5631836945875053,43,20
n_models,rbf_combined,2.465859336202143,43,20
n_models,rbf_paired,2.373396148827853,44,20
n_models,rbf_unpaired,2.3402586837140005,44,20
n_models,rbf_combined,2.2767819704524643,44,20
n_models,rbf_paired,2.0490859002813004,45,20
n_models,rbf_unpaired,1.9755732972916111,45,20
n_models,rbf_combined,1.934221753966141,45,20
n_models,rbf_paired,2.107276128148785,46,20
n_models,rbf_unpaired,2.159595063149599,46,20
n_models,rbf_combined,2.0409197348110784,46,20
n_models,rbf_paired,2.114407597722218,47,20
n_models,rbf_unpaired,2.0058943651658727,47,20
n_models,rbf_combined,1.8603475679478287,47,20
n_models,rbf_paired,2.1151957430862827,48,20
n_models,rbf_unpaired,1.9569812760840624,48,20
n_models,rbf_combined,1.9529942093521755,48,20
n_models,rbf_paired,2.1274292266399204,49,20
n_models,rbf_unpaired,2.002100513766187,49,20
n_models,rbf_combined,1.9581776650179683,49,20
n_models,rbf_paired,2.270294649642251,0,50
n_models,rbf_unpaired,1.7575002236322383,0,50
n_models,rbf_combined,1.6446268706981138,0,50
n_models,rbf_paired,1.9801639374135909,1,50
n_models,rbf_unpaired,1.5636303768639763,1,50
n_models,rbf_combined,1.4363846808950853,1,50
n_models,rbf_paired,2.310966210531045,2,50
n_models,rbf_unpaired,2.1957319312513905,2,50
n_models,rbf_combined,1.951186503452902,2,50
n_models,rbf_paired,2.3563050561517853,3,50
n_models,rbf_unpaired,2.1204458154661405,3,50
n_models,rbf_combined,1.7290793324120668,3,50
n_models,rbf_paired,2.186209268383609,4,50
n_models,rbf_unpaired,1.9433093165144648,4,50
n_models,rbf_combined,1.829041124735583,4,50
n_models,rbf_paired,2.1192173787320536,5,50
n_models,rbf_unpaired,1.9373213006169487,5,50
n_models,rbf_combined,1.731144691480347,5,50
n_models,rbf_paired,2.1438747405588443,6,50
n_models,rbf_unpaired,1.9358213274561025,6,50
n_models,rbf_combined,1.85202701684303,6,50
n_models,rbf_paired,1.940285850156507,7,50
n_models,rbf_unpaired,1.4795229165189392,7,50
n_models,rbf_combined,1.361812055047846,7,50
n_models,rbf_paired,2.352614144243871,8,50
n_models,rbf_unpaired,2.25589700680105,8,50
n_models,rbf_combined,1.982097495769536,8,50
n_models,rbf_paired,2.284140849114613,9,50
n_models,rbf_unpaired,1.919418559456376,9,50
n_models,rbf_combined,1.83685859886822,9,50
n_models,rbf_paired,1.9026794743807376,10,50
n_models,rbf_unpaired,1.836876075440417,10,50
n_models,rbf_combined,1.7028234531474835,10,50
n_models,rbf_paired,2.080837915206914,11,50
n_models,rbf_unpaired,1.779989246362606,11,50
n_models,rbf_combined,1.685900009130469,11,50
n_models,rbf_paired,2.2070989763798123,12,50
n_models,rbf_unpaired,1.8444757679116504,12,50
n_models,rbf_combined,1.7175518426777874,12,50
n_models,rbf_paired,2.67603595691226,13,50
n_models,rbf_unpaired,2.247591491238248,13,50
n_models,rbf_combined,2.130803288614296,13,50
n_models,rbf_paired,1.9944447413867503,14,50
n_models,rbf_unpaired,1.7213935107527112,14,50
n_models,rbf_combined,1.5828602505136111,14,50
n_models,rbf_paired,2.0182824855961945,15,50
n_models,rbf_unpaired,1.8146266000804008,15,50
n_models,rbf_combined,1.583814016324559,15,50
n_models,rbf_paired,2.279725393293873,16,50
n_models,rbf_unpaired,2.3351506672158453,16,50
n_models,rbf_combined,1.97001989867532,16,50
n_models,rbf_paired,2.1662027767683107,17,50
n_models,rbf_unpaired,1.9618491354019865,17,50
n_models,rbf_combined,1.7020401388673758,17,50
n_models,rbf_paired,2.62621767562025,18,50
n_models,rbf_unpaired,2.342706227858648,18,50
n_models,rbf_combined,2.0295092767760146,18,50
n_models,rbf_paired,2.118230807995954,19,50
n_models,rbf_unpaired,1.8629082892554392,19,50
n_models,rbf_combined,1.7574557589061237,19,50
n_models,rbf_paired,2.2051161881285712,20,50
n_models,rbf_unpaired,1.8617208348627787,20,50
n_models,rbf_combined,1.6729174352385363,20,50
n_models,rbf_paired,1.597213741980977,21,50
n_models,rbf_unpaired,1.4440435319027416,21,50
n_models,rbf_combined,1.3343859639190374,21,50
n_models,rbf_paired,2.316929924432167,22,50
n_models,rbf_unpaired,2.1567208403594296,22,50
n_models,rbf_combined,1.8733477504703369,22,50
