experiment,estimator,mae,seed,n_tasks
n_tasks,rbf_combined,1.239794351573165,43,10
n_tasks,rbf_paired,1.6995252337980666,44,10
n_tasks,rbf_unpaired,1.6293737773872172,44,10
n_tasks,rbf_combined,1.1581734359332736,44,10
n_tasks,rbf_paired,1.9736302474261982,45,10
n_tasks,rbf_unpaired,2.151099107185279,45,10
n_tasks,rbf_combined,1.4448669383358235,45,10
n_tasks,rbf_paired,1.6433220843696545,46,10
n_tasks,rbf_unpaired,1.7252765923312023,46,10
n_tasks,rbf_combined,1.1794728540343102,46,10
n_tasks,rbf_paired,1.5603062673718961,47,10
n_tasks,rbf_unpaired,1.6134626094907745,47,10
n_tasks,rbf_combined,1.1278659596062552,47,10
n_tasks,rbf_paired,1.7048720748980386,48,10
n_tasks,rbf_unpaired,1.7475993433610817,48,10
n_tasks,rbf_combined,1.1993673932357714,48,10
n_tasks,rbf_paired,1.8581337156027675,49,10
n_tasks,rbf_unpaired,1.890540641487116,49,10
n_tasks,rbf_combined,1.3047187342352673,49,10
n_tasks,rbf_paired,1.563761867838416,0,20
n_tasks,rbf_unpaired,1.130465624394971,0,20
n_tasks,rbf_combined,1.056734149226513,0,20
n_tasks,rbf_paired,1.7014472024595453,1,20
n_tasks,rbf_unpaired,1.3996443440761683,1,20
n_tasks,rbf_combined,1.2156605664215037,1,20
n_tasks,rbf_paired,1.4787889387377597,2,20
n_tasks,rbf_unpaired,1.2375438611526821,2,20
n_tasks,rbf_combined,0.9867724691002476,2,20
n_tasks,rbf_paired,1.4963678078628062,3,20
n_tasks,rbf_unpaired,1.2877258137245993,3,20
n_tasks,rbf_combined,1.036537160426268,3,20
n_tasks,rbf_paired,1.5951832205458343,4,20
n_tasks,rbf_unpaired,1.2721301377110115,4,20
n_tasks,rbf_combined,1.0835408270982045,4,20
n_tasks,rbf_paired,1.5633842338755706,5,20
n_tasks,rbf_unpaired,1.202443970470612,5,20
n_tasks,rbf_combined,1.1392141059356269,5,20
n_tasks,rbf_paired,1.5408947156021013,6,20
n_tasks,rbf_unpaired,1.0322620606403783,6,20
n_tasks,rbf_combined,1.006659745381226,6,20
n_tasks,rbf_paired,1.1974499914939138,7,20
n_tasks,rbf_unpaired,0.9651106170472163,7,20
n_tasks,rbf_combined,0.8724050311037786,7,20
n_tasks,rbf_paired,1.6545901187526508,8,20
n_tasks,rbf_unpaired,1.3145200442033538,8,20
n_tasks,rbf_combined,1.1517870656707236,8,20
n_tasks,rbf_paired,1.6437717138793593,9,20
n_tasks,rbf_unpaired,1.189566982297059,9,20
n_tasks,rbf_combined,1.1394810738973584,9,20
n_tasks,rbf_paired,1.6721472325897817,10,20
n_tasks,rbf_unpaired,1.1597969593338249,10,20
n_tasks,rbf_combined,1.0803997529562728,10,20
n_tasks,rbf_paired,1.4793420351880606,11,20
n_tasks,rbf_unpaired,1.1587081465225828,11,20
n_tasks,rbf_combined,1.0587876062082797,11,20
n_tasks,rbf_paired,1.8039584242576756,12,20
n_tasks,rbf_unpaired,1.4323358219176874,12,20
n_tasks,rbf_combined,1.104505725578943,12,20
n_tasks,rbf_paired,1.900727332936023,13,20
n_tasks,rbf_unpaired,1.5788973174768635,13,20
n_tasks,rbf_combined,1.2553146874149663,13,20
n_tasks,rbf_paired,1.6768648729115514,14,20
n_tasks,rbf_unpaired,1.2387622024502123,14,20
n_tasks,rbf_combined,1.1210090763343985,14,20
n_tasks,rbf_paired,1.4502501471555216,15,20
n_tasks,rbf_unpaired,1.1129255683999577,15,20
n_tasks,rbf_combined,1.0613542507195772,15,20
n_tasks,rbf_paired,1.4516192086893032,16,20
n_tasks,rbf_unpaired,1.0633994191431655,16,20
n_tasks,rbf_combined,1.0146550590151866,16,20
n_tasks,rbf_paired,1.5852223299710115,17,20
n_tasks,rbf_unpaired,1.2613034266621204,17,20
n_tasks,rbf_combined,1.0364928200521188,17,20
n_tasks,rbf_paired,1.7330691274759291,18,20
n_tasks,rbf_unpaired,1.420535614523675,18,20
n_tasks,rbf_combined,1.3527617006192205,18,20
n_tasks,rbf_paired,1.6592033796147507,19,20
n_tasks,rbf_unpaired,1.2558298634849552,19,20
n_tasks,rbf_combined,1.1747169188906499,19,20
n_tasks,rbf_paired,1.5768197876981005,20,20
n_tasks,rbf_unpaired,1.2204408750457132,20,20
n_tasks,rbf_combined,1.1326896992965219,20,20
n_tasks,rbf_paired,1.634295599408244,21,20
n_tasks,rbf_unpaired,1.3164165378950798,21,20
n_tasks,rbf_combined,1.191143755371443,21,20
n_tasks,rbf_paired,1.6593304592191596,22,20
n_tasks,rbf_unpaired,1.4380666539728666,22,20
n_tasks,rbf_combined,1.1878973225287848,22,20
n_tasks,rbf_paired,1.763159093229603,23,20
n_tasks,rbf_unpaired,1.2064269588645145,23,20
n_tasks,rbf_combined,1.0809889782496709,23,20
