experiment,estimator,mae,seed,query_obs_prob
query_sparsity,rbf_unpaired,1.2263118733575973,49,0.2
query_sparsity,rbf_combined,1.1178983486260985,49,0.2
query_sparsity,rbf_paired,1.6537712508902418,0,0.3
query_sparsity,rbf_unpaired,1.1511016716147544,0,0.3
query_sparsity,rbf_combined,1.1076924322514166,0,0.3
query_sparsity,rbf_paired,1.745492329031293,1,0.3
query_sparsity,rbf_unpaired,1.4037261970283668,1,0.3
query_sparsity,rbf_combined,1.285989973704355,1,0.3
query_sparsity,rbf_paired,1.6870911628688545,2,0.3
query_sparsity,rbf_unpaired,1.2885721188406494,2,0.3
query_sparsity,rbf_combined,1.0317393912432633,2,0.3
query_sparsity,rbf_paired,1.6786513444059812,3,0.3
query_sparsity,rbf_unpaired,1.319990453780034,3,0.3
query_sparsity,rbf_combined,1.0755687191214198,3,0.3
query_sparsity,rbf_paired,1.69473474481294,4,0.3
query_sparsity,rbf_unpaired,1.1834139989482617,4,0.3
query_sparsity,rbf_combined,1.0935640687173265,4,0.3
query_sparsity,rbf_paired,1.8114335967671276,5,0.3
query_sparsity,rbf_unpaired,1.3220686637501882,5,0.3
query_sparsity,rbf_combined,1.148152065477079,5,0.3
query_sparsity,rbf_paired,1.6513561792496512,6,0.3
query_sparsity,rbf_unpaired,1.2745430389431562,6,0.3
query_sparsity,rbf_combined,1.055519842749163,6,0.3
query_sparsity,rbf_paired,1.33346496804543,7,0.3
query_sparsity,rbf_unpaired,0.9887105440556272,7,0.3
query_sparsity,rbf_combined,0.9119159973084152,7,0.3
query_sparsity,rbf_paired,1.7761127955587457,8,0.3
query_sparsity,rbf_unpaired,1.3446547915136347,8,0.3
query_sparsity,rbf_combined,1.2039125002435533,8,0.3
query_sparsity,rbf_paired,1.8074939189206873,9,0.3
query_sparsity,rbf_unpaired,1.3331414299144804,9,0.3
query_sparsity,rbf_combined,1.1948440975727852,9,0.3
query_sparsity,rbf_paired,1.7296943372982911,10,0.3
query_sparsity,rbf_unpaired,1.209848335680149,10,0.3
query_sparsity,rbf_combined,1.1082306409292362,10,0.3
query_sparsity,rbf_paired,1.715248212713283,11,0.3
query_sparsity,rbf_unpaired,1.3734560260946285,11,0.3
query_sparsity,rbf_combined,1.1114235535839656,11,0.3
query_sparsity,rbf_paired,1.8291596434836064,12,0.3
query_sparsity,rbf_unpaired,1.5729521302093474,12,0.3
query_sparsity,rbf_combined,1.1559577354173567,12,0.3
query_sparsity,rbf_paired,1.8688571181507676,13,0.3
query_sparsity,rbf_unpaired,1.522507719214992,13,0.3
query_sparsity,rbf_combined,1.2627445891486822,13,0.3
query_sparsity,rbf_paired,1.7724763191318158,14,0.3
query_sparsity,rbf_unpaired,1.2489780966717785,14,0.3
query_sparsity,rbf_combined,1.1599862694661118,14,0.3
query_sparsity,rbf_paired,1.7430312538082375,15,0.3
query_sparsity,rbf_unpaired,1.1763373509209811,15,0.3
query_sparsity,rbf_combined,1.1121800304443052,15,0.3
query_sparsity,rbf_paired,1.5567624361129966,16,0.3
query_sparsity,rbf_unpaired,1.230334383664975,16,0.3
query_sparsity,rbf_combined,1.043891095677889,16,0.3
query_sparsity,rbf_paired,1.6294236516308445,17,0.3
query_sparsity,rbf_unpaired,1.3289130465563648,17,0.3
query_sparsity,rbf_combined,1.0587628146650159,17,0.3
