experiment,estimator,seed,response_noise,n_queries_per_task,rmse
noise_x_queries,nq=10,35,1.0,10,1.4822318445648024
noise_x_queries,nq=10,36,1.0,10,1.2595468932378235
noise_x_queries,nq=10,37,1.0,10,1.4859202061667676
noise_x_queries,nq=10,38,1.0,10,1.4053212462526044
noise_x_queries,nq=10,39,1.0,10,1.6233878629249652
noise_x_queries,nq=10,40,1.0,10,1.6505289558853233
noise_x_queries,nq=10,41,1.0,10,1.696603865565911
noise_x_queries,nq=10,42,1.0,10,1.6037614749096927
noise_x_queries,nq=10,43,1.0,10,1.4784531261288214
noise_x_queries,nq=10,44,1.0,10,1.558838649988851
noise_x_queries,nq=10,45,1.0,10,1.973779470943599
noise_x_queries,nq=10,46,1.0,10,1.5249703522075244
noise_x_queries,nq=10,47,1.0,10,1.3740077065631418
noise_x_queries,nq=10,48,1.0,10,1.6075935003909678
noise_x_queries,nq=10,49,1.0,10,1.45414247193203
noise_x_queries,nq=50,0,1.0,50,1.4403868668964295
noise_x_queries,nq=50,1,1.0,50,1.6791189113072265
noise_x_queries,nq=50,2,1.0,50,1.3289510669196654
noise_x_queries,nq=50,3,1.0,50,1.484359182739222
noise_x_queries,nq=50,4,1.0,50,1.5132503539004305
noise_x_queries,nq=50,5,1.0,50,1.5835925072162664
noise_x_queries,nq=50,6,1.0,50,1.4365174520923147
noise_x_queries,nq=50,7,1.0,50,1.2341625260480886
noise_x_queries,nq=50,8,1.0,50,1.616639069408017
noise_x_queries,nq=50,9,1.0,50,1.5112797476680604
noise_x_queries,nq=50,10,1.0,50,1.5086293696056126
noise_x_queries,nq=50,11,1.0,50,1.4674459349718534
noise_x_queries,nq=50,12,1.0,50,1.5243535559257588
noise_x_queries,nq=50,13,1.0,50,1.7704022093145044
noise_x_queries,nq=50,14,1.0,50,1.5519118346039273
noise_x_queries,nq=50,15,1.0,50,1.4496770709810662
noise_x_queries,nq=50,16,1.0,50,1.3768261586678354
noise_x_queries,nq=50,17,1.0,50,1.4433777735544482
noise_x_queries,nq=50,18,1.0,50,1.8690908416916545
noise_x_queries,nq=50,19,1.0,50,1.6312002533467287
noise_x_queries,nq=50,20,1.0,50,1.56013764119897
noise_x_queries,nq=50,21,1.0,50,1.6334358188647118
noise_x_queries,nq=50,22,1.0,50,1.6623465818637189
noise_x_queries,nq=50,23,1.0,50,1.4601462384650454
noise_x_queries,nq=50,24,1.0,50,1.5614752437457098
noise_x_queries,nq=50,25,1.0,50,1.6487367406754836
noise_x_queries,nq=50,26,1.0,50,1.6062625017170025
noise_x_queries,nq=50,27,1.0,50,1.425376912541976
noise_x_queries,nq=50,28,1.0,50,1.3518396810081805
noise_x_queries,nq=50,29,1.0,50,1.4671332453863268
noise_x_queries,nq=50,30,1.0,50,1.5686348632287768
noise_x_queries,nq=50,31,1.0,50,1.658019710041524
noise_x_queries,nq=50,32,1.0,50,1.3545028180023326
noise_x_queries,nq=50,33,1.0,50,1.5358192802186321
noise_x_queries,nq=50,34,1.0,50,1.612778297443421
noise_x_queries,nq=50,35,1.0,50,1.4624361271586723
noise_x_queries,nq=50,36,1.0,50,1.2624518422677848
noise_x_queries,nq=50,37,1.0,50,1.4857168737623097
noise_x_queries,nq=50,38,1.0,50,1.3820086110932859
noise_x_queries,nq=50,39,1.0,50,1.613304496802625
noise_x_queries,nq=50,40,1.0,50,1.6195259984003316
noise_x_queries,nq=50,41,1.0,50,1.6953710975366336
noise_x_queries,nq=50,42,1.0,50,1.5845487768284905
noise_x_queries,nq=50,43,1.0,50,1.4734935850658155
noise_x_queries,nq=50,44,1.0,50,1.5390136936447016
noise_x_queries,nq=50,45,1.0,50,1.9612344489163347
noise_x_queries,nq=50,46,1.0,50,1.5017349378689768
noise_x_queries,nq=50,47,1.0,50,1.3492896799833176
noise_x_queries,nq=50,48,1.0,50,1.5569751313711244
noise_x_queries,nq=50,49,1.0,50,1.4107364763212005
noise_x_queries,nq=3,0,2.0,3,1.6190606058273826
noise_x_queries,nq=3,1,2.0,3,1.8132905183870578
noise_x_queries,nq=3,2,2.0,3,1.5740359334745058
noise_x_queries,nq=3,3,2.0,3,1.706461902252726
noise_x_queries,nq=3,4,2.0,3,1.721271769369424
noise_x_queries,nq=3,5,2.0,3,1.77219122009983
noise_x_queries,nq=3,6,2.0,3,1.5963266366619655
noise_x_queries,nq=3,7,2.0,3,1.364558701877475
noise_x_queries,nq=3,8,2.0,3,1.7257090598248293
noise_x_queries,nq=3,9,2.0,3,1.7219685036428118
noise_x_queries,nq=3,10,2.0,3,1.6989834989451855
noise_x_queries,nq=3,11,2.0,3,1.6752388582459494
noise_x_queries,nq=3,12,2.0,3,1.7656744066940484
noise_x_queries,nq=3,13,2.0,3,1.9158745938905863
noise_x_queries,nq=3,14,2.0,3,1.7162046060339091
noise_x_queries,nq=3,15,2.0,3,1.5859962891538955
