experiment,estimator,rmse,seed,task_spread
task_spread,rbf_unpaired,0.5085876774756374,12,0.25
task_spread,rbf_combined,0.3676207423345566,12,0.25
task_spread,rbf_paired,0.6771388984100134,13,0.25
task_spread,rbf_unpaired,0.5512601791320684,13,0.25
task_spread,rbf_combined,0.413988077728286,13,0.25
task_spread,rbf_paired,0.5834656620509705,14,0.25
task_spread,rbf_unpaired,0.36810070202349254,14,0.25
task_spread,rbf_combined,0.3514018846072281,14,0.25
task_spread,rbf_paired,0.5454746311436403,15,0.25
task_spread,rbf_unpaired,0.35453313988653695,15,0.25
task_spread,rbf_combined,0.3339823674248507,15,0.25
task_spread,rbf_paired,0.5183555121683301,16,0.25
task_spread,rbf_unpaired,0.3655215956353069,16,0.25
task_spread,rbf_combined,0.3236095548563823,16,0.25
task_spread,rbf_paired,0.5470502877433392,17,0.25
task_spread,rbf_unpaired,0.43452162555298945,17,0.25
task_spread,rbf_combined,0.3488637662662555,17,0.25
task_spread,rbf_paired,0.609392766485006,18,0.25
task_spread,rbf_unpaired,0.4385625961348776,18,0.25
task_spread,rbf_combined,0.4277961667885047,18,0.25
task_spread,rbf_paired,0.5690930592250157,19,0.25
task_spread,rbf_unpaired,0.39215565151490756,19,0.25
task_spread,rbf_combined,0.3733864307381584,19,0.25
task_spread,rbf_paired,0.5590924647624708,20,0.25
task_spread,rbf_unpaired,0.4318229171224772,20,0.25
task_spread,rbf_combined,0.3745933099174578,20,0.25
task_spread,rbf_paired,0.5974222698328989,21,0.25
task_spread,rbf_unpaired,0.4882234692004086,21,0.25
task_spread,rbf_combined,0.37398464750980437,21,0.25
task_spread,rbf_paired,0.5883956113452165,22,0.25
task_spread,rbf_unpaired,0.442523948799915,22,0.25
task_spread,rbf_combined,0.3733708115537836,22,0.25
task_spread,rbf_paired,0.5860238970779698,23,0.25
task_spread,rbf_unpaired,0.40795246989615874,23,0.25
task_spread,rbf_combined,0.3368490581502234,23,0.25
task_spread,rbf_paired,0.5911736283068127,24,0.25
task_spread,rbf_unpaired,0.47250547593470643,24,0.25
task_spread,rbf_combined,0.37818141280895623,24,0.25
task_spread,rbf_paired,0.5923607123399715,25,0.25
task_spread,rbf_unpaired,0.39682568546916364,25,0.25
task_spread,rbf_combined,0.38115220985136256,25,0.25
task_spread,rbf_paired,0.5726077571617769,26,0.25
task_spread,rbf_unpaired,0.4232765633490905,26,0.25
task_spread,rbf_combined,0.37556373783363495,26,0.25
task_spread,rbf_paired,0.5276276359910437,27,0.25
task_spread,rbf_unpaired,0.3580785074193865,27,0.25
task_spread,rbf_combined,0.3372047394010133,27,0.25
task_spread,rbf_paired,0.5599246174409136,28,0.25
task_spread,rbf_unpaired,0.3561496139653127,28,0.25
task_spread,rbf_combined,0.3213213342290446,28,0.25
task_spread,rbf_paired,0.5399047300365826,29,0.25
task_spread,rbf_unpaired,0.4110976876534775,29,0.25
task_spread,rbf_combined,0.34972277356502723,29,0.25
task_spread,rbf_paired,0.5796217597159267,30,0.25
task_spread,rbf_unpaired,0.37958680014042284,30,0.25
task_spread,rbf_combined,0.3593247575983186,30,0.25
task_spread,rbf_paired,0.6640087179295151,31,0.25
task_spread,rbf_unpaired,0.48670427110038456,31,0.25
task_spread,rbf_combined,0.3798950225996356,31,0.25
task_spread,rbf_paired,0.5290339074653524,32,0.25
task_spread,rbf_unpaired,0.3973398792939268,32,0.25
task_spread,rbf_combined,0.3127910756804992,32,0.25
task_spread,rbf_paired,0.5645312669378497,33,0.25
task_spread,rbf_unpaired,0.41155061163436896,33,0.25
task_spread,rbf_combined,0.34343769278226366,33,0.25
task_spread,rbf_paired,0.5522097618530644,34,0.25
task_spread,rbf_unpaired,0.38754878474339116,34,0.25
task_spread,rbf_combined,0.3736016174567403,34,0.25
task_spread,rbf_paired,0.5546864787996555,35,0.25
task_spread,rbf_unpaired,0.3456596867722906,35,0.25
task_spread,rbf_combined,0.33338014131472893,35,0.25
task_spread,rbf_paired,0.4817375013223953,36,0.25
task_spread,rbf_unpaired,0.31187303444432957,36,0.25
task_spread,rbf_combined,0.29342695608352093,36,0.25
task_spread,rbf_paired,0.5319597080533899,37,0.25
task_spread,rbf_unpaired,0.4134756319668241,37,0.25
task_spread,rbf_combined,0.3322262078111167,37,0.25
task_spread,rbf_paired,0.5061787850657075,38,0.25
task_spread,rbf_unpaired,0.39395870794232557,38,0.25
task_spread,rbf_combined,0.33067854906961425,38,0.25
task_spread,rbf_paired,0.5888813405387529,39,0.25
task_spread,rbf_unpaired,0.38158705385695807,39,0.25
