obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,93,4,0,ensemble,0.1772281990901887,knn,0.35000000000000003
0.4,93,4,1,combined,0.23918038621279775,knn,0.25
0.4,93,4,1,matcomplete,0.18527723275799232,knn,0.25
0.4,93,4,1,ensemble,0.17149268432725118,knn,0.25
0.4,93,4,2,combined,0.2313059170610895,knn,0.30000000000000004
0.4,93,4,2,matcomplete,0.18290319844150899,knn,0.30000000000000004
0.4,93,4,2,ensemble,0.1722522098033158,knn,0.30000000000000004
0.4,93,4,3,combined,0.23563874172105478,knn,0.35000000000000003
0.4,93,4,3,matcomplete,0.18633532922338458,knn,0.35000000000000003
0.4,93,4,3,ensemble,0.173146927779209,knn,0.35000000000000003
0.4,93,4,4,combined,0.2274872188350417,knn,0.25
0.4,93,4,4,matcomplete,0.17870484603198525,knn,0.25
0.4,93,4,4,ensemble,0.16724704633211018,knn,0.25
0.4,93,4,5,combined,0.23127739059283772,knn,0.2
0.4,93,4,5,matcomplete,0.1777966705069885,knn,0.2
0.4,93,4,5,ensemble,0.1692977551059958,knn,0.2
0.4,93,4,6,combined,0.23231762196100658,knn,0.35000000000000003
0.4,93,4,6,matcomplete,0.17855480351654623,knn,0.35000000000000003
0.4,93,4,6,ensemble,0.1698599066911877,knn,0.35000000000000003
0.4,93,4,7,combined,0.2286774716839912,knn,0.35000000000000003
0.4,93,4,7,matcomplete,0.18060930138448222,knn,0.35000000000000003
0.4,93,4,7,ensemble,0.1726687954672728,knn,0.35000000000000003
0.4,93,4,8,combined,0.2204198693501251,knn,0.2
0.4,93,4,8,matcomplete,0.1792307525550619,knn,0.2
0.4,93,4,8,ensemble,0.1705210780909739,knn,0.2
0.4,93,4,9,combined,0.22296431176435919,knn,0.25
0.4,93,4,9,matcomplete,0.1786498809945556,knn,0.25
0.4,93,4,9,ensemble,0.17108714892147558,knn,0.25
0.4,93,4,10,combined,0.2339110062172295,knn,0.25
0.4,93,4,10,matcomplete,0.19348158020494413,knn,0.25
0.4,93,4,10,ensemble,0.18413284874199135,knn,0.25
0.4,93,4,11,combined,0.23374905283154232,knn,0.4
0.4,93,4,11,matcomplete,0.17853435426670888,knn,0.4
0.4,93,4,11,ensemble,0.17041804058054738,knn,0.4
0.4,93,8,0,combined,0.18239201638020036,knn,0.25
0.4,93,8,0,matcomplete,0.13937080836815371,knn,0.25
0.4,93,8,0,ensemble,0.13232593963331737,knn,0.25
0.4,93,8,1,combined,0.18719995269072126,knn,0.2
0.4,93,8,1,matcomplete,0.14244049399981598,knn,0.2
0.4,93,8,1,ensemble,0.13542308843712686,knn,0.2
