obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,95,32,4,matcomplete,0.09715839058391038,knn,0.7000000000000001
0.4,95,32,4,ensemble,0.09150133475316241,knn,0.7000000000000001
0.4,95,32,5,combined,0.09905920663002951,knn,0.5
0.4,95,32,5,matcomplete,0.09346719983980152,knn,0.5
0.4,95,32,5,ensemble,0.0855928265813469,knn,0.5
0.4,95,32,6,combined,0.09266856674179738,knn,0.55
0.4,95,32,6,matcomplete,0.09569638587067521,knn,0.55
0.4,95,32,6,ensemble,0.08805814432284338,knn,0.55
0.4,95,32,7,combined,0.09005928530064032,knn,0.55
0.4,95,32,7,matcomplete,0.10314802693650221,knn,0.55
0.4,95,32,7,ensemble,0.08337889850064378,knn,0.55
0.4,95,32,8,combined,0.10661400943068419,knn,0.6000000000000001
0.4,95,32,8,matcomplete,0.0997211611130262,knn,0.6000000000000001
0.4,95,32,8,ensemble,0.09544470405769441,knn,0.6000000000000001
0.4,95,32,9,combined,0.09340782159438611,knn,0.6000000000000001
0.4,95,32,9,matcomplete,0.09275572095850108,knn,0.6000000000000001
0.4,95,32,9,ensemble,0.08313989433352684,knn,0.6000000000000001
0.4,95,32,10,combined,0.1011002695342515,knn,0.65
0.4,95,32,10,matcomplete,0.10063362693290819,knn,0.65
0.4,95,32,10,ensemble,0.09243373084528711,knn,0.65
0.4,95,32,11,combined,0.09787621872216225,knn,0.55
0.4,95,32,11,matcomplete,0.10308244534369534,knn,0.55
0.4,95,32,11,ensemble,0.09054762924617493,knn,0.55
0.4,95,32,12,combined,0.09032802416173492,knn,0.65
0.4,95,32,12,matcomplete,0.09816188999046274,knn,0.65
0.4,95,32,12,ensemble,0.08245390903274938,knn,0.65
0.4,95,32,13,combined,0.0859363337696729,knn,0.6000000000000001
0.4,95,32,13,matcomplete,0.09144646514909303,knn,0.6000000000000001
0.4,95,32,13,ensemble,0.0798970460656016,knn,0.6000000000000001
0.4,95,32,14,combined,0.09585726879432356,knn,0.35000000000000003
0.4,95,32,14,matcomplete,0.08804474331491884,knn,0.35000000000000003
0.4,95,32,14,ensemble,0.08289761557891669,knn,0.35000000000000003
