obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,95,8,14,combined,0.07620214996316728,knn,0.35000000000000003
0.4,95,8,14,matcomplete,0.06376216021564628,knn,0.35000000000000003
0.4,95,8,14,ensemble,0.06467152225291505,knn,0.35000000000000003
0.4,95,16,0,combined,0.06210894995159705,knn,0.15000000000000002
0.4,95,16,0,matcomplete,0.06099934092118438,knn,0.15000000000000002
0.4,95,16,0,ensemble,0.05864509689510968,knn,0.15000000000000002
0.4,95,16,1,combined,0.059335966243297664,knn,0.6000000000000001
0.4,95,16,1,matcomplete,0.048319013975687934,knn,0.6000000000000001
0.4,95,16,1,ensemble,0.052009365441139564,knn,0.6000000000000001
0.4,95,16,2,combined,0.06479527059761134,knn,0.30000000000000004
0.4,95,16,2,matcomplete,0.0556581519267441,knn,0.30000000000000004
0.4,95,16,2,ensemble,0.05302380332737512,knn,0.30000000000000004
0.4,95,16,3,combined,0.06435374575315497,knn,0.2
0.4,95,16,3,matcomplete,0.061081191853202745,knn,0.2
0.4,95,16,3,ensemble,0.05891495425913375,knn,0.2
0.4,95,16,4,combined,0.06973934572399018,knn,0.45
0.4,95,16,4,matcomplete,0.05818670958332027,knn,0.45
0.4,95,16,4,ensemble,0.056330247861968386,knn,0.45
0.4,95,16,5,combined,0.06544384417191161,knn,0.5
0.4,95,16,5,matcomplete,0.05924648779568432,knn,0.5
0.4,95,16,5,ensemble,0.058137682055156494,knn,0.5
0.4,95,16,6,combined,0.06119556765592778,knn,0.2
0.4,95,16,6,matcomplete,0.058106738272401696,knn,0.2
0.4,95,16,6,ensemble,0.05651636716947893,knn,0.2
0.4,95,16,7,combined,0.07087779910852107,knn,0.55
0.4,95,16,7,matcomplete,0.05885725421864207,knn,0.55
0.4,95,16,7,ensemble,0.060636784911990496,knn,0.55
0.4,95,16,8,combined,0.06114763254854557,knn,0.2
0.4,95,16,8,matcomplete,0.05080674749926265,knn,0.2
0.4,95,16,8,ensemble,0.05070276886797742,knn,0.2
0.4,95,16,9,combined,0.05805451929052608,knn,0.1
0.4,95,16,9,matcomplete,0.05006390611760543,knn,0.1
0.4,95,16,9,ensemble,0.04957615422093906,knn,0.1
0.4,95,16,10,combined,0.06258625480293027,knn,0.25
0.4,95,16,10,matcomplete,0.05394308466711976,knn,0.25
0.4,95,16,10,ensemble,0.05421911453785035,knn,0.25
0.4,95,16,11,combined,0.06334547691295951,knn,0.55
0.4,95,16,11,matcomplete,0.05523469124340139,knn,0.55
0.4,95,16,11,ensemble,0.05724197688167096,knn,0.55
0.4,95,16,12,combined,0.06121043513277732,knn,0.2
0.4,95,16,12,matcomplete,0.05166691806847063,knn,0.2
0.4,95,16,12,ensemble,0.04990540749323373,knn,0.2
0.4,95,16,13,combined,0.06455633238014101,knn,0.30000000000000004
0.4,95,16,13,matcomplete,0.05809681316701664,knn,0.30000000000000004
0.4,95,16,13,ensemble,0.05536494572612586,knn,0.30000000000000004
0.4,95,16,14,combined,0.0728273541609977,knn,0.25
0.4,95,16,14,matcomplete,0.0608533868664244,knn,0.25
0.4,95,16,14,ensemble,0.061358487158699286,knn,0.25
0.4,95,32,0,combined,0.05871535611828996,knn,0.15000000000000002
0.4,95,32,0,matcomplete,0.05476146956619979,knn,0.15000000000000002
0.4,95,32,0,ensemble,0.05259715478899912,knn,0.15000000000000002
0.4,95,32,1,combined,0.05861424310864261,knn,0.45
0.4,95,32,1,matcomplete,0.045632781509517446,knn,0.45
0.4,95,32,1,ensemble,0.047444612918771875,knn,0.45
0.4,95,32,2,combined,0.057542648288811664,knn,0.35000000000000003
0.4,95,32,2,matcomplete,0.047466003772556935,knn,0.35000000000000003
0.4,95,32,2,ensemble,0.046803693292056636,knn,0.35000000000000003
0.4,95,32,3,combined,0.05251029594543384,knn,0.25
0.4,95,32,3,matcomplete,0.052096377113287955,knn,0.25
0.4,95,32,3,ensemble,0.04937068314102963,knn,0.25
0.4,95,32,4,combined,0.06279802364302982,knn,0.5
0.4,95,32,4,matcomplete,0.04913861816177071,knn,0.5
0.4,95,32,4,ensemble,0.0475931673973627,knn,0.5
0.4,95,32,5,combined,0.06105643466128306,knn,0.2
0.4,95,32,5,matcomplete,0.049746210072467933,knn,0.2
0.4,95,32,5,ensemble,0.05005921337076925,knn,0.2
0.4,95,32,6,combined,0.05374410784536963,knn,0.15000000000000002
0.4,95,32,6,matcomplete,0.04622866839798212,knn,0.15000000000000002
0.4,95,32,6,ensemble,0.04454581391340217,knn,0.15000000000000002
0.4,95,32,7,combined,0.05908684581226822,knn,0.65
0.4,95,32,7,matcomplete,0.049149220452255574,knn,0.65
0.4,95,32,7,ensemble,0.05064247639408472,knn,0.65
0.4,95,32,8,combined,0.05383544952256871,knn,0.35000000000000003
0.4,95,32,8,matcomplete,0.04395596057712308,knn,0.35000000000000003
0.4,95,32,8,ensemble,0.04383545048229745,knn,0.35000000000000003
0.4,95,32,9,combined,0.05058526021921672,knn,0.25
0.4,95,32,9,matcomplete,0.03983757188060408,knn,0.25
0.4,95,32,9,ensemble,0.03937665886271336,knn,0.25
0.4,95,32,10,combined,0.06009832627333009,knn,0.15000000000000002
0.4,95,32,10,matcomplete,0.05157918161066512,knn,0.15000000000000002
0.4,95,32,10,ensemble,0.050774915215362704,knn,0.15000000000000002
0.4,95,32,11,combined,0.06317764910923196,knn,0.2
0.4,95,32,11,matcomplete,0.05398971662535896,knn,0.2
0.4,95,32,11,ensemble,0.05401595091326737,knn,0.2
0.4,95,32,12,combined,0.054634777672591436,knn,0.45
0.4,95,32,12,matcomplete,0.04966166752789376,knn,0.45
0.4,95,32,12,ensemble,0.04689085596054385,knn,0.45
0.4,95,32,13,combined,0.0495505412850224,knn,0.6000000000000001
0.4,95,32,13,matcomplete,0.04458784673924705,knn,0.6000000000000001
0.4,95,32,13,ensemble,0.04486580784553305,knn,0.6000000000000001
0.4,95,32,14,combined,0.06291230940967972,knn,0.45
0.4,95,32,14,matcomplete,0.05478455809526458,knn,0.45
0.4,95,32,14,ensemble,0.05494412581915397,knn,0.45
