p,q,n_models,seed,score_all,pkps_all,mc_all,ens_all,score_obs,ens_obs,score_mis,ens_mis,w_pk,a_mis
0.35,8,95,2,0.06256786824291938,0.05938274789144559,0.07071900101763749,0.05882788725406417,0.05016774072393337,0.04311186344180056,0.07071900101763749,0.069158700109678,0.9626222763079894,0.8500000000000001
0.35,8,95,3,0.06201759369386412,0.05857378949036512,0.06958861144482634,0.058645184480880345,0.04919848409280309,0.042039141115918416,0.06958861144482634,0.06845278056220015,0.8167367245796616,0.15000000000000002
0.35,8,95,4,0.06515466538094421,0.0631345831604365,0.07511462406111048,0.06306307197590812,0.04485167268675909,0.044056514783564774,0.07511462406111048,0.07238704342875579,0.9997279515633881,0.9
0.35,8,95,5,0.053702630036068295,0.054918998651394574,0.05989371749911539,0.052531683935648464,0.04403114745865959,0.041030993666232585,0.05989371749911539,0.05989371749911539,0.8691685067530538,0.0
0.35,8,95,6,0.0562736597063168,0.05937843226023488,0.06306123756304562,0.05937673629596623,0.043323127722006013,0.045274304645556776,0.06306123756304562,0.06676804291659884,0.9997248534187781,1.0
0.35,8,95,7,0.05890907173796262,0.05670852163052314,0.06599453596754074,0.05658851231020988,0.046238594527422926,0.04615577873921326,0.06599453596754074,0.0624226067413593,0.9997518340808594,0.5
0.35,8,95,8,0.058732599279108566,0.05931337308631325,0.06478059501660194,0.059153792080593105,0.04849224285994363,0.050181762843586906,0.06478059501660194,0.06445270867694576,0.9797452573351767,1.0
0.35,8,95,9,0.061970134025236746,0.061707514779727565,0.06966198481644686,0.06092449257545007,0.04962936242615238,0.0482067628959158,0.06966198481644686,0.06885129669077623,0.9996927043725411,0.55
0.35,8,95,10,0.05876716508349516,0.059391298340053036,0.06379342386889204,0.05938957323631142,0.049266310062318124,0.051064241850524446,0.06379342386889204,0.0637939420984697,0.9997275768785533,1.0
0.35,8,95,11,0.07223632822688607,0.07053056176586325,0.08262292323322476,0.07052930822089784,0.05527155638319954,0.0487537055472606,0.08262292323322476,0.08386130985781859,0.9997509899588093,1.0
0.5,8,95,0,0.058146193928091505,0.05842227854010203,0.06722264517268364,0.05645361370402821,0.047396664113067644,0.04504625082251598,0.06722264517268364,0.06608551154561634,0.7834453963188206,1.0
0.5,8,95,1,0.05853648334286614,0.05363783814598909,0.06468512002557322,0.05144259413605785,0.05293329023685081,0.046095158349433195,0.06468512002557322,0.05731057676916807,0.8534474815569938,0.8500000000000001
0.5,8,95,2,0.05238475693108565,0.05115181501730558,0.0593398906288903,0.04998115983775906,0.045938535455071566,0.04130721422646666,0.0593398906288903,0.0593398906288903,0.7799556368810475,0.0
